case_id,equipment_type,equipment_id,location,complaint,symptoms,previous_action,root_cause,resolution,cost,repair_time,urgency,technician_notes,status
CASE-0118,AC,AC-01,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0119,Elevator,ELEVATOR-16,Library,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0120,Generator,GENERATOR-17,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0121,Generator,GENERATOR-07,Computer Science Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0122,AC,AC-02,Administrative Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0123,AC,AC-04,Laboratory Building,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0124,AC,AC-20,Main Auditorium,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0125,AC,AC-01,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0126,Water Pump,WATER-PUMP-13,Computer Science Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0127,Water Pump,WATER-PUMP-07,Engineering Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0128,Generator,GENERATOR-17,Main Auditorium,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0129,AC,AC-12,Hostel Block B,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0130,AC,AC-16,Laboratory Building,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0131,Generator,GENERATOR-03,Laboratory Building,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0132,Generator,GENERATOR-10,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0133,Elevator,ELEVATOR-05,Computer Science Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0134,AC,AC-18,Hostel Block A,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0135,AC,AC-16,Hostel Block A,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0136,Elevator,ELEVATOR-04,Administrative Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0137,Generator,GENERATOR-09,Library,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0138,Elevator,ELEVATOR-04,Administrative Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0139,Elevator,ELEVATOR-08,Administrative Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0140,Elevator,ELEVATOR-11,Laboratory Building,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0141,Generator,GENERATOR-19,Hostel Block B,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0142,AC,AC-07,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0143,Elevator,ELEVATOR-19,Hostel Block B,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0144,Elevator,ELEVATOR-15,Laboratory Building,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0145,Elevator,ELEVATOR-16,Laboratory Building,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0146,AC,AC-09,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0147,Elevator,ELEVATOR-04,Administrative Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0148,AC,AC-17,Engineering Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0149,AC,AC-02,Hostel Block A,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0150,AC,AC-07,Main Auditorium,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0151,AC,AC-04,Hostel Block A,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0152,AC,AC-05,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0153,Water Pump,WATER-PUMP-09,Engineering Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0154,Water Pump,WATER-PUMP-06,Laboratory Building,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0155,AC,AC-10,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0156,Elevator,ELEVATOR-13,Engineering Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0157,AC,AC-15,Library,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0158,Elevator,ELEVATOR-17,Hostel Block B,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0159,Generator,GENERATOR-10,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0160,Water Pump,WATER-PUMP-11,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0161,Elevator,ELEVATOR-04,Computer Science Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0162,Water Pump,WATER-PUMP-06,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0163,AC,AC-18,Engineering Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0164,AC,AC-10,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0165,Generator,GENERATOR-13,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0166,Elevator,ELEVATOR-18,Administrative Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0167,AC,AC-17,Laboratory Building,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0168,Elevator,ELEVATOR-10,Administrative Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0169,AC,AC-09,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0170,AC,AC-13,Hostel Block A,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0171,Elevator,ELEVATOR-04,Hostel Block A,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0172,Elevator,ELEVATOR-10,Library,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0173,Generator,GENERATOR-11,Computer Science Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0174,Generator,GENERATOR-01,Engineering Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0175,AC,AC-09,Computer Science Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0176,AC,AC-07,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0177,Generator,GENERATOR-16,Hostel Block A,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0178,AC,AC-19,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0179,Generator,GENERATOR-14,Hostel Block A,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0180,AC,AC-14,Engineering Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0181,AC,AC-16,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0182,Elevator,ELEVATOR-10,Main Auditorium,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0183,Water Pump,WATER-PUMP-02,Hostel Block B,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0184,AC,AC-03,Hostel Block A,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0185,Water Pump,WATER-PUMP-03,Hostel Block A,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0186,Elevator,ELEVATOR-14,Computer Science Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0187,Water Pump,WATER-PUMP-17,Engineering Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0188,Water Pump,WATER-PUMP-13,Administrative Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0189,AC,AC-16,Engineering Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0190,Water Pump,WATER-PUMP-19,Hostel Block A,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0191,Water Pump,WATER-PUMP-19,Engineering Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0192,Generator,GENERATOR-18,Engineering Block,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0193,AC,AC-02,Hostel Block B,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0194,Water Pump,WATER-PUMP-14,Hostel Block B,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0195,AC,AC-17,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0196,Water Pump,WATER-PUMP-02,Laboratory Building,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0197,Water Pump,WATER-PUMP-16,Engineering Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0198,AC,AC-20,Hostel Block A,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0199,Generator,GENERATOR-02,Library,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0200,AC,AC-13,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0201,AC,AC-09,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0202,Generator,GENERATOR-19,Hostel Block A,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0203,Generator,GENERATOR-07,Hostel Block B,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0204,Water Pump,WATER-PUMP-19,Administrative Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0205,Elevator,ELEVATOR-20,Administrative Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0206,Generator,GENERATOR-18,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0207,Generator,GENERATOR-09,Administrative Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0208,Water Pump,WATER-PUMP-06,Administrative Block,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0209,AC,AC-16,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0210,Generator,GENERATOR-16,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0211,AC,AC-14,Administrative Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0212,Water Pump,WATER-PUMP-12,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0213,Elevator,ELEVATOR-06,Library,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0214,Generator,GENERATOR-19,Hostel Block B,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0215,Generator,GENERATOR-12,Main Auditorium,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0216,Generator,GENERATOR-08,Engineering Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0217,Generator,GENERATOR-17,Laboratory Building,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0218,Water Pump,WATER-PUMP-05,Main Auditorium,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0219,Water Pump,WATER-PUMP-06,Hostel Block A,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0220,Generator,GENERATOR-14,Computer Science Block,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0221,Water Pump,WATER-PUMP-15,Library,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0222,Elevator,ELEVATOR-20,Main Auditorium,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0223,Generator,GENERATOR-17,Administrative Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0224,Elevator,ELEVATOR-11,Engineering Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0225,Elevator,ELEVATOR-20,Administrative Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0226,Elevator,ELEVATOR-15,Computer Science Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0227,Water Pump,WATER-PUMP-12,Computer Science Block,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0228,Water Pump,WATER-PUMP-17,Hostel Block A,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0229,AC,AC-01,Laboratory Building,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0230,Elevator,ELEVATOR-19,Hostel Block A,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0231,AC,AC-17,Engineering Block,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0232,Generator,GENERATOR-04,Main Auditorium,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0233,AC,AC-20,Engineering Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0234,Generator,GENERATOR-09,Laboratory Building,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0235,Generator,GENERATOR-07,Main Auditorium,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
